feature_name,importance,importance_type,rank
has_prior_ed,-0.2483902254502433,logistic_regression_signed_coefficient,1
transportation_barrier,0.13020077810387845,logistic_regression_signed_coefficient,2
days_since_prior_care_management,0.08781138439034718,logistic_regression_signed_coefficient,3
prior_potentially_avoidable_ed_count_270d,-0.08162019626444073,logistic_regression_signed_coefficient,4
prior_uncertain_ed_count_270d,0.07495220962685806,logistic_regression_signed_coefficient,5
prior_urgent_care_count_180d,0.0645993047209043,logistic_regression_signed_coefficient,6
prior_telehealth_count_270d,0.06381752433032804,logistic_regression_signed_coefficient,7
prior_potentially_avoidable_ed_count_30d,0.06339921127479094,logistic_regression_signed_coefficient,8
ckd,0.0616877123973282,logistic_regression_signed_coefficient,9
age,-0.06102929215584315,logistic_regression_signed_coefficient,10
has_prior_potentially_avoidable_ed,0.05724762047290108,logistic_regression_signed_coefficient,11
access_burden,-0.056845108287136834,logistic_regression_signed_coefficient,12
num_chronic_conditions,0.050741756715168895,logistic_regression_signed_coefficient,13
clinical_burden,0.050741756715168895,logistic_regression_signed_coefficient,14
prior_protected_ed_count_90d,0.045291572342417055,logistic_regression_signed_coefficient,15
has_prior_pcp,-0.044623098704583745,logistic_regression_signed_coefficient,16
diabetes,0.04333819068407152,logistic_regression_signed_coefficient,17
prior_urgent_care_count_270d,0.04289037850467648,logistic_regression_signed_coefficient,18
prior_potentially_avoidable_ed_count_90d,-0.042721194532591926,logistic_regression_signed_coefficient,19
prior_ed_count_180d,0.04130916008802262,logistic_regression_signed_coefficient,20
days_since_prior_ed,-0.03990426468421681,logistic_regression_signed_coefficient,21
pcp_distance_miles,-0.038942177928106926,logistic_regression_signed_coefficient,22
prior_urgent_care_count_90d,-0.038036410939989544,logistic_regression_signed_coefficient,23
days_since_prior_telehealth,-0.03783203534060551,logistic_regression_signed_coefficient,24
prior_pcp_count_180d,-0.037690192593744544,logistic_regression_signed_coefficient,25
days_since_prior_protected_ed,0.035942627968649395,logistic_regression_signed_coefficient,26
prior_uncertain_ed_count_90d,-0.03199039400887897,logistic_regression_signed_coefficient,27
gender_F,-0.02927054687828949,logistic_regression_signed_coefficient,28
gender_M,0.028660431807653642,logistic_regression_signed_coefficient,29
prior_protected_ed_count_270d,0.026146436437651917,logistic_regression_signed_coefficient,30
has_prior_protected_ed,-0.0257475665632725,logistic_regression_signed_coefficient,31
has_prior_care_management,-0.023698414172491203,logistic_regression_signed_coefficient,32
prior_pcp_count_30d,0.022489805660075926,logistic_regression_signed_coefficient,33
prior_ed_count_30d,-0.02232963751922351,logistic_regression_signed_coefficient,34
copd,0.021647613332689265,logistic_regression_signed_coefficient,35
has_prior_telehealth,-0.020050572506850124,logistic_regression_signed_coefficient,36
telehealth_available,-0.0196510353034747,logistic_regression_signed_coefficient,37
urgent_care_distance_miles,0.01956209976689438,logistic_regression_signed_coefficient,38
prior_ed_count_90d,-0.019012979056167226,logistic_regression_signed_coefficient,39
prior_telehealth_count_90d,-0.01887824618683643,logistic_regression_signed_coefficient,40
prior_urgent_care_count_30d,-0.01826196559015586,logistic_regression_signed_coefficient,41
prior_pcp_count_270d,0.017817455913165713,logistic_regression_signed_coefficient,42
has_prior_urgent_care,-0.01437397145643441,logistic_regression_signed_coefficient,43
prior_care_management_count_90d,0.014308463631391996,logistic_regression_signed_coefficient,44
potentially_avoidable_ed_velocity_90_over_270,-0.013865177337841214,logistic_regression_signed_coefficient,45
prior_telehealth_count_180d,-0.012413095201252783,logistic_regression_signed_coefficient,46
days_since_prior_potentially_avoidable_ed,0.011912008015836627,logistic_regression_signed_coefficient,47
prior_potentially_avoidable_ed_count_180d,0.0119033693209222,logistic_regression_signed_coefficient,48
days_since_prior_pcp,0.011731863040683615,logistic_regression_signed_coefficient,49
prior_telehealth_count_30d,0.011707720990263812,logistic_regression_signed_coefficient,50
ed_utilization_velocity_30_over_180,0.011332831670128746,logistic_regression_signed_coefficient,51
prior_pcp_count_90d,0.008162963296265195,logistic_regression_signed_coefficient,52
asthma,0.007336273904961506,logistic_regression_signed_coefficient,53
days_since_prior_urgent_care,0.007096282246136622,logistic_regression_signed_coefficient,54
prior_care_management_count_270d,0.006621081328979562,logistic_regression_signed_coefficient,55
prior_care_management_count_30d,0.0056721085772362964,logistic_regression_signed_coefficient,56
hypertension,0.005135773135682442,logistic_regression_signed_coefficient,57
prior_care_management_count_180d,-0.00348446854792302,logistic_regression_signed_coefficient,58
prior_ed_count_270d,0.0023805050409196346,logistic_regression_signed_coefficient,59
chf,-0.0009257686169774834,logistic_regression_signed_coefficient,60
