feature_name,importance,importance_type,rank
transportation_barrier,0.22347423928817506,logistic_regression_signed_coefficient,1
telehealth_available,-0.1804450141477069,logistic_regression_signed_coefficient,2
pcp_distance_miles,0.11840856422555593,logistic_regression_signed_coefficient,3
prior_potentially_avoidable_ed_count_30d,0.11444670423231057,logistic_regression_signed_coefficient,4
prior_potentially_avoidable_ed_count_270d,0.10969388720573038,logistic_regression_signed_coefficient,5
prior_potentially_avoidable_ed_count_90d,0.104940517922312,logistic_regression_signed_coefficient,6
prior_ed_count_270d,0.101068123964022,logistic_regression_signed_coefficient,7
prior_uncertain_ed_count_90d,-0.08527495344275177,logistic_regression_signed_coefficient,8
prior_ed_count_180d,0.07561274489053463,logistic_regression_signed_coefficient,9
num_chronic_conditions,0.06586034925700496,logistic_regression_signed_coefficient,10
clinical_burden,0.06586034925700496,logistic_regression_signed_coefficient,11
age,-0.06419777206427367,logistic_regression_signed_coefficient,12
days_since_prior_urgent_care,0.058816164722073565,logistic_regression_signed_coefficient,13
prior_potentially_avoidable_ed_count_180d,-0.0586290619404382,logistic_regression_signed_coefficient,14
access_burden,0.05666001904868101,logistic_regression_signed_coefficient,15
diabetes,0.05474818185654339,logistic_regression_signed_coefficient,16
urgent_care_distance_miles,0.053566685567279726,logistic_regression_signed_coefficient,17
prior_care_management_count_270d,-0.053020884538235974,logistic_regression_signed_coefficient,18
prior_pcp_count_90d,-0.048213531211641944,logistic_regression_signed_coefficient,19
days_since_prior_pcp,0.047593159391930706,logistic_regression_signed_coefficient,20
prior_urgent_care_count_180d,0.04650027789339175,logistic_regression_signed_coefficient,21
prior_ed_count_90d,0.04626528241177398,logistic_regression_signed_coefficient,22
asthma,0.04426449837579438,logistic_regression_signed_coefficient,23
prior_care_management_count_90d,-0.03982599925836876,logistic_regression_signed_coefficient,24
hypertension,0.03882687804882729,logistic_regression_signed_coefficient,25
has_prior_ed,-0.038051327645690504,logistic_regression_signed_coefficient,26
prior_telehealth_count_270d,-0.0367856582601125,logistic_regression_signed_coefficient,27
ed_utilization_velocity_30_over_180,0.035415662139510314,logistic_regression_signed_coefficient,28
prior_care_management_count_30d,-0.03460584681158183,logistic_regression_signed_coefficient,29
prior_urgent_care_count_270d,-0.03385540360765632,logistic_regression_signed_coefficient,30
has_prior_telehealth,0.03314405739229001,logistic_regression_signed_coefficient,31
days_since_prior_ed,-0.031712156546582264,logistic_regression_signed_coefficient,32
has_prior_pcp,-0.030509569087992395,logistic_regression_signed_coefficient,33
days_since_prior_telehealth,0.029351550578800283,logistic_regression_signed_coefficient,34
has_prior_protected_ed,-0.02804980538803385,logistic_regression_signed_coefficient,35
prior_urgent_care_count_90d,0.02642895141041331,logistic_regression_signed_coefficient,36
prior_urgent_care_count_30d,0.026391855187030133,logistic_regression_signed_coefficient,37
prior_telehealth_count_30d,-0.02612625824450795,logistic_regression_signed_coefficient,38
prior_protected_ed_count_90d,-0.02588190563876412,logistic_regression_signed_coefficient,39
prior_telehealth_count_180d,-0.02385056562390651,logistic_regression_signed_coefficient,40
prior_ed_count_30d,-0.023680075411954625,logistic_regression_signed_coefficient,41
prior_pcp_count_270d,-0.023592311708056014,logistic_regression_signed_coefficient,42
prior_protected_ed_count_270d,0.021585018054131738,logistic_regression_signed_coefficient,43
ckd,0.01956685800080435,logistic_regression_signed_coefficient,44
prior_pcp_count_30d,0.018132520503205102,logistic_regression_signed_coefficient,45
has_prior_urgent_care,-0.017683800532757605,logistic_regression_signed_coefficient,46
prior_care_management_count_180d,0.0172060544818356,logistic_regression_signed_coefficient,47
days_since_prior_protected_ed,-0.016793326619905895,logistic_regression_signed_coefficient,48
gender_M,-0.01674611194644636,logistic_regression_signed_coefficient,49
gender_F,0.015263431299741828,logistic_regression_signed_coefficient,50
prior_telehealth_count_90d,0.01494277362683221,logistic_regression_signed_coefficient,51
prior_pcp_count_180d,-0.014877045693497133,logistic_regression_signed_coefficient,52
has_prior_care_management,-0.012652996939185415,logistic_regression_signed_coefficient,53
days_since_prior_potentially_avoidable_ed,0.012590367198803971,logistic_regression_signed_coefficient,54
days_since_prior_care_management,-0.011829356376414937,logistic_regression_signed_coefficient,55
has_prior_potentially_avoidable_ed,0.010296652306859303,logistic_regression_signed_coefficient,56
chf,0.004368086177598574,logistic_regression_signed_coefficient,57
prior_uncertain_ed_count_270d,-0.0033806171551938506,logistic_regression_signed_coefficient,58
potentially_avoidable_ed_velocity_90_over_270,-0.001540821856311696,logistic_regression_signed_coefficient,59
copd,-0.0003351532313725522,logistic_regression_signed_coefficient,60
